Husband_takes_drug,Media_usage,d101e,husband_drinks_alcohol,d121,wife_afraid_hasband,women_age,region,residence,v106,religion,ethnicity,no_of_H_members,age_H_head,wealth_Index,total_children_ever_born,currently_pregnant,No_of_living_children,number_of_other_wives,marital_duration,husband_education,husbands_occupation,,IPV 
1,0,1,0,1,1,6,7,2,0,1,9,1,76,1,9,0,7,0,16,1,33,,3
1,1,0,0,1,1,2,7,2,1,1,9,0,32,2,3,0,3,0,18,0,30,,0
1,1,0,0,1,0,1,7,2,1,1,9,0,60,1,1,0,1,0,13,0,22.63274596,,0
1,0,1,0,0,1,5,7,2,0,1,9,1,39,1,5,1,5,0,21,1,10,,0
1,1,0,0,1,1,6,7,2,0,1,9,1,45,2,8,0,6,1,27,1,8,,1
1,0,0,0,0,1,3,7,2,1,1,9,0,30,2,2,0,2,0,16,1,33,,1
1,0,0,1,1,1,5,4,2,0,1,1,1,40,1,8,0,8,0,16,1,1,,2
1,1,0,1,1,1,3,4,2,0,1,2,0,29,0,4,0,4,0,16,0,1,,0
1,0,1,0,0,1,3,4,2,0,1,2,0,25,0,4,0,4,0,15,0,22.63274596,,1
1,0,1,0,0,1,4,4,2,0,1,2,1,30,2,6,0,6,1,14,0,33,,4
1,1,0,0,1,1,3,4,2,0,1,2,1,30,2,8,0,8,1,14,1,33,,0
1,0,1,0,0,1,2,4,2,1,4,2,2,50,2,1,1,1,0,17,2,33,,1
1,1,1,0,0,1,1,4,2,2,1,2,1,67,2,0,1,0,0,17,1,6,,0
1,0,0,0,0,1,7,4,2,0,1,2,0,45,0,10,0,9,1,18,0,33,,0
1,1,1,0,0,1,5,4,2,0,2,2,1,36,0,7,1,6,0,17,0,33,,0
1,0,0,0,0,0,5,5,2,0,2,5,1,38,0,8,0,7,0,21,0,33,,0
1,0,0,0,0,1,1,5,2,0,2,5,0,21,0,2,0,2,0,16,1,33,,0
1,0,0,0,1,0,3,5,2,0,2,5,1,60,0,5,0,4,2,15,0,33,,0
1,0,1,0,0,0,6,5,2,1,2,5,1,40,0,8,0,7,0,18,0,33,,0
1,0,1,0,1,1,2,5,2,0,2,5,1,63,0,3,0,3,0,17,0,8,,2
1,1,0,0,0,1,3,5,2,0,2,5,0,54,0,1,0,1,0,23,0,22.63274596,,0
1,0,0,0,0,0,4,5,2,0,2,5,1,39,0,6,0,6,0,14,0,1,,0
1,0,0,0,0,1,2,5,2,0,2,5,0,36,0,3,0,3,0,19,0,4,,0
1,1,0,0,0,1,4,4,2,0,1,2,0,35,2,4,0,4,0,17,1,33,,0
1,1,1,1,0,1,3,4,2,1,0,2,0,30,2,4,1,4,0,16,1,33,,1
1,1,1,0,0,1,6,4,2,1,1,2,1,44,2,7,0,7,0,19,1,33,,0
1,1,1,0,1,1,1,4,2,1,1,2,0,64,2,1,0,1,0,16,1,33,,0
1,1,1,0,0,1,2,4,2,1,1,2,0,28,2,2,1,2,0,17,1,30,,1
1,0,1,0,1,1,3,4,2,0,1,2,0,28,2,4,1,4,0,16,1,33,,0
1,1,1,1,1,1,4,4,2,0,0,2,1,39,2,7,0,7,0,17,1,33,,2
1,1,1,1,1,1,6,4,2,1,0,2,0,48,2,8,0,6,0,15,0,33,,1
1,0,1,1,0,1,7,3,2,0,0,1,0,50,1,5,0,4,0,16,2,33,,3
1,1,0,1,0,0,3,3,2,3,0,1,0,25,2,2,0,2,0,17,3,9,,3
1,1,1,1,1,1,3,3,2,3,0,1,0,25,2,0,0,0,0,20,3,9,,3
1,1,1,1,1,0,3,3,2,1,0,1,0,28,1,1,0,1,0,23,1,5,,1
1,1,0,1,1,1,1,3,2,1,0,1,0,24,1,0,0,0,0,15,1,33,,2
1,1,0,1,0,1,4,3,2,0,0,1,0,43,2,7,0,5,0,12,0,33,,3
1,1,0,0,0,0,5,3,2,0,0,1,0,43,2,7,0,5,0,13,0,33,,1
1,1,1,1,0,0,2,3,2,2,0,1,0,42,1,1,0,1,0,20,2,33,,1
1,1,1,1,1,0,7,3,2,0,0,1,0,61,1,5,0,1,0,19,0,30,,2
1,1,1,1,0,1,6,3,2,0,0,1,1,65,0,7,0,5,0,14,0,33,,4
1,1,0,0,0,1,3,11,1,1,2,2,0,29,2,1,0,0,0,22,0,22.63274596,,0
1,0,0,0,0,1,3,11,1,0,2,2,0,30,2,1,0,1,1,18,1,30,,0
1,1,1,0,0,0,2,11,1,1,2,2,0,25,2,2,0,2,0,20,3,9,,0
1,1,0,0,0,0,1,11,1,1,2,2,0,28,2,0,1,0,0,16,3,9,,0
1,0,0,0,0,1,1,11,1,1,2,2,0,27,2,0,0,0,0,17,3,9,,0
1,1,1,0,1,1,2,11,1,2,2,2,0,25,2,2,0,2,0,19,3,33,,3
1,0,1,0,1,1,5,4,2,1,2,2,1,42,0,10,0,9,0,16,0,33,,1
1,0,1,0,1,1,5,4,2,0,2,2,1,46,0,7,0,7,0,14,1,33,,1
1,0,1,0,1,1,4,4,2,0,2,2,1,33,0,6,0,5,0,16,1,33,,0
1,1,1,0,0,1,3,4,2,0,2,2,1,27,2,5,0,5,1,17,1,33,,0
1,0,0,0,0,1,2,4,2,0,2,2,0,26,0,2,0,2,0,17,0,33,,1
1,1,1,0,1,1,2,4,2,1,2,2,0,27,1,1,0,1,0,19,2,33,,1
1,1,1,0,0,1,7,4,2,0,2,2,2,62,1,9,0,9,1,21,0,33,,3
1,1,0,0,1,1,3,4,2,1,2,2,1,33,2,5,0,5,0,15,2,1,,0
1,1,0,0,1,1,5,4,2,0,2,2,1,37,1,9,0,7,0,17,0,22.63274596,,0
1,0,0,0,1,1,3,4,2,0,2,2,0,34,1,4,0,4,0,17,1,33,,0
1,0,0,0,0,1,3,11,1,1,2,1,0,26,2,2,0,2,0,22,1,7,,0
1,1,0,1,1,1,3,11,1,1,0,1,0,35,2,1,0,1,0,23,1,10,,0
1,1,0,0,0,0,4,11,1,1,0,1,0,35,2,1,0,1,0,24,2,4,,0
1,1,0,0,0,1,2,11,1,2,2,2,0,21,2,0,0,0,0,20,3,21,,1
1,1,0,0,1,1,5,11,1,1,2,2,1,40,2,5,0,5,0,15,2,30,,0
1,1,0,0,0,0,2,9,1,1,0,1,0,28,2,1,0,1,0,15,2,7,,0
1,1,0,0,0,0,2,9,1,2,0,1,0,32,2,1,0,1,0,21,2,18,,0
1,1,1,0,0,1,3,9,1,1,0,6,0,30,2,2,0,2,0,15,1,5,,2
1,0,0,0,1,0,5,9,1,0,0,2,0,40,2,2,0,2,0,20,2,5,,1
1,1,0,0,0,1,2,9,1,3,2,38,0,23,2,2,0,2,0,14,3,21,,0
1,0,0,0,0,0,5,11,2,0,2,2,1,40,0,7,0,5,0,16,1,5,,0
1,0,0,0,0,0,4,11,2,0,2,2,2,35,0,8,1,8,0,16,1,5,,0
1,0,0,0,0,0,3,11,2,0,2,2,2,35,0,8,0,7,0,14,0,33,,2
1,0,0,0,0,0,3,11,2,0,2,2,0,37,0,3,0,3,0,16,1,5,,0
1,0,0,0,1,1,5,11,2,0,2,2,1,40,0,8,0,7,1,13,1,7,,0
